,fechas,pred
39062,2011-08-09 18:10:00,0.6018
39216,2011-08-10 07:00:00,0.1638
39362,2011-08-10 19:10:00,0.634
39519,2011-08-11 08:15:00,0.1126
39662,2011-08-11 20:10:00,0.6623
39821,2011-08-12 09:25:00,0.0905
39961,2011-08-12 21:05:00,0.6837
40121,2011-08-13 10:25:00,0.089
40260,2011-08-13 22:00:00,0.6929
40419,2011-08-14 11:15:00,0.0983
40558,2011-08-14 22:50:00,0.6844
40715,2011-08-15 11:55:00,0.1138
40856,2011-08-15 23:40:00,0.655
41010,2011-08-16 12:30:00,0.1355
41153,2011-08-17 00:25:00,0.6039
41305,2011-08-17 13:05:00,0.1655
41449,2011-08-18 01:05:00,0.5333
41599,2011-08-18 13:35:00,0.2052
41745,2011-08-19 01:45:00,0.4478
41893,2011-08-19 14:05:00,0.254
42041,2011-08-20 02:25:00,0.3532
42188,2011-08-20 14:40:00,0.309
42337,2011-08-21 03:05:00,0.2564
42484,2011-08-21 15:20:00,0.3662
42634,2011-08-22 03:50:00,0.1642
42780,2011-08-22 16:00:00,0.4216
42931,2011-08-23 04:35:00,0.0835
43078,2011-08-23 16:50:00,0.4729
43230,2011-08-24 05:30:00,0.0219
43376,2011-08-24 17:40:00,0.5201
43529,2011-08-25 06:25:00,-0.0129
43676,2011-08-25 18:40:00,0.5651
43829,2011-08-26 07:25:00,-0.015
43976,2011-08-26 19:40:00,0.609
44129,2011-08-27 08:25:00,0.0162
44275,2011-08-27 20:35:00,0.6499
44428,2011-08-28 09:20:00,0.0756
44574,2011-08-28 21:30:00,0.6826
44726,2011-08-29 10:10:00,0.1547
44873,2011-08-29 22:25:00,0.7006
45024,2011-08-30 11:00:00,0.2446
45172,2011-08-30 23:20:00,0.6977
45321,2011-08-31 11:45:00,0.3363
45470,2011-09-01 00:10:00,0.6703
45618,2011-09-01 12:30:00,0.4219
45768,2011-09-02 01:00:00,0.6173
45916,2011-09-02 13:20:00,0.4952
46066,2011-09-03 01:50:00,0.541
