,inicio,final,picomin,momentom,duracion
302,2012-04-09 20:40:00,2012-04-09 20:50:00,-0.3051660500989123,2012-04-09 20:50:00,
303,2012-04-12 09:30:00,2012-04-12 12:40:00,-0.42896605009891237,2012-04-12 11:35:00,
304,2012-04-12 13:00:00,2012-04-12 13:05:00,-0.3036660500989123,2012-04-12 13:00:00,
305,2012-04-12 13:50:00,2012-04-12 15:15:00,-0.37756605009891236,2012-04-12 14:45:00,
306,2012-04-29 23:00:00,2012-04-29 23:50:00,-0.3193660500989124,2012-04-29 23:15:00,
307,2012-04-30 03:20:00,2012-05-01 18:50:00,-0.9747660500989124,2012-05-01 06:45:00,
308,2012-05-01 20:05:00,2012-05-01 20:35:00,-0.31786605009891233,2012-05-01 20:15:00,
309,2012-05-01 21:00:00,2012-05-01 21:25:00,-0.3408660500989123,2012-05-01 21:10:00,
310,2012-05-01 23:30:00,2012-05-01 23:35:00,-0.3142660500989124,2012-05-01 23:35:00,
311,2012-05-01 23:50:00,2012-05-02 00:20:00,-0.3233660500989123,2012-05-02 00:00:00,
312,2012-05-02 05:00:00,2012-05-02 19:30:00,-0.6094660500989124,2012-05-02 11:00:00,
313,2012-05-02 20:00:00,2012-05-02 20:00:00,-0.30196605009891236,2012-05-02 20:00:00,
314,2012-05-02 20:10:00,2012-05-02 20:25:00,-0.31656605009891225,2012-05-02 20:15:00,
315,2012-05-02 20:35:00,2012-05-02 20:40:00,-0.30776605009891234,2012-05-02 20:40:00,
316,2012-05-02 20:55:00,2012-05-02 20:55:00,-0.31026605009891234,2012-05-02 20:55:00,
317,2012-05-02 21:45:00,2012-05-02 21:45:00,-0.3081660500989123,2012-05-02 21:45:00,
318,2012-05-06 06:40:00,2012-05-06 07:35:00,-0.3615660500989124,2012-05-06 07:05:00,
319,2012-05-06 08:45:00,2012-05-07 14:10:00,-0.7938660500989123,2012-05-07 00:10:00,
320,2012-05-16 00:55:00,2012-05-16 02:30:00,-0.4508660500989123,2012-05-16 02:30:00,
