,fechas,pred
35534,2011-07-28 12:10:00,-0.1887
35727,2011-07-29 04:15:00,-0.4248
35836,2011-07-29 13:20:00,-0.2107
36024,2011-07-30 05:00:00,-0.4736
36141,2011-07-30 14:45:00,-0.2432
36320,2011-07-31 05:40:00,-0.5124
36443,2011-07-31 15:55:00,-0.2857
36616,2011-08-01 06:20:00,-0.5385
36744,2011-08-01 17:00:00,-0.3317
36912,2011-08-02 07:00:00,-0.5501
37044,2011-08-02 18:00:00,-0.3745
37208,2011-08-03 07:40:00,-0.5464
37344,2011-08-03 19:00:00,-0.4084
37504,2011-08-04 08:20:00,-0.5277
37644,2011-08-04 20:00:00,-0.4307
37800,2011-08-05 09:00:00,-0.4953
37944,2011-08-05 21:00:00,-0.4422
38097,2011-08-06 09:45:00,-0.4523
38246,2011-08-06 22:10:00,-0.4482
38394,2011-08-07 10:30:00,-0.4022
38548,2011-08-07 23:20:00,-0.4569
38692,2011-08-08 11:20:00,-0.3505
38851,2011-08-09 00:35:00,-0.4766
38991,2011-08-09 12:15:00,-0.3032
39153,2011-08-10 01:45:00,-0.5105
39290,2011-08-10 13:10:00,-0.2667
39454,2011-08-11 02:50:00,-0.5531
39590,2011-08-11 14:10:00,-0.2453
39755,2011-08-12 03:55:00,-0.5936
39890,2011-08-12 15:10:00,-0.2397
40054,2011-08-13 04:50:00,-0.6207
40189,2011-08-13 16:05:00,-0.2463
40352,2011-08-14 05:40:00,-0.6259
40488,2011-08-14 17:00:00,-0.2599
40649,2011-08-15 06:25:00,-0.6051
40785,2011-08-15 17:45:00,-0.2754
40946,2011-08-16 07:10:00,-0.559
41083,2011-08-16 18:35:00,-0.2889
41242,2011-08-17 07:50:00,-0.4917
41380,2011-08-17 19:20:00,-0.2977
41537,2011-08-18 08:25:00,-0.4108
41677,2011-08-18 20:05:00,-0.3008
41832,2011-08-19 09:00:00,-0.3261
41975,2011-08-19 20:55:00,-0.2989
42125,2011-08-20 09:25:00,-0.2484
42273,2011-08-20 21:45:00,-0.2943
42416,2011-08-21 09:40:00,-0.1892
42573,2011-08-21 22:45:00,-0.2912
42701,2011-08-22 09:25:00,-0.1614
42873,2011-08-22 23:45:00,-0.2961
42986,2011-08-23 09:10:00,-0.1684
43175,2011-08-24 00:55:00,-0.3145
43280,2011-08-24 09:40:00,-0.1832
43475,2011-08-25 01:55:00,-0.3464
43578,2011-08-25 10:30:00,-0.1918
43774,2011-08-26 02:50:00,-0.3868
43882,2011-08-26 11:50:00,-0.1983
44072,2011-08-27 03:40:00,-0.4285
44191,2011-08-27 13:35:00,-0.2231
44369,2011-08-28 04:25:00,-0.4655
44496,2011-08-28 15:00:00,-0.2758
44665,2011-08-29 05:05:00,-0.4933
44798,2011-08-29 16:10:00,-0.342
44961,2011-08-30 05:45:00,-0.5091
45098,2011-08-30 17:10:00,-0.4089
45257,2011-08-31 06:25:00,-0.5108
45397,2011-08-31 18:05:00,-0.4667
45553,2011-09-01 07:05:00,-0.4976
45696,2011-09-01 19:00:00,-0.5091
45849,2011-09-02 07:45:00,-0.4698
45996,2011-09-02 20:00:00,-0.5333
46145,2011-09-03 08:25:00,-0.4293
46296,2011-09-03 21:00:00,-0.5405
46442,2011-09-04 09:10:00,-0.3791
46596,2011-09-04 22:00:00,-0.5368
46739,2011-09-05 09:55:00,-0.3241
46898,2011-09-05 23:10:00,-0.5313
47037,2011-09-06 10:45:00,-0.2703
47200,2011-09-07 00:20:00,-0.5327
47337,2011-09-07 11:45:00,-0.226
47502,2011-09-08 01:30:00,-0.5442
47638,2011-09-08 12:50:00,-0.2003
47803,2011-09-09 02:35:00,-0.5608
47939,2011-09-09 13:55:00,-0.1982
48102,2011-09-10 03:30:00,-0.5724
48240,2011-09-10 15:00:00,-0.2174
48401,2011-09-11 04:25:00,-0.5692
48539,2011-09-11 15:55:00,-0.2502
48698,2011-09-12 05:10:00,-0.545
48838,2011-09-12 16:50:00,-0.2881
48995,2011-09-13 05:55:00,-0.4992
49135,2011-09-13 17:35:00,-0.324
49291,2011-09-14 06:35:00,-0.4349
49432,2011-09-14 18:20:00,-0.3531
49586,2011-09-15 07:10:00,-0.3595
49729,2011-09-15 19:05:00,-0.373
49879,2011-09-16 07:35:00,-0.2825
50026,2011-09-16 19:50:00,-0.3829
50172,2011-09-17 08:00:00,-0.2156
50323,2011-09-17 20:35:00,-0.3839
50461,2011-09-18 08:05:00,-0.1709
50621,2011-09-18 21:25:00,-0.3785
50745,2011-09-19 07:45:00,-0.1608
50919,2011-09-19 22:15:00,-0.371
51034,2011-09-20 07:50:00,-0.1767
51219,2011-09-20 23:15:00,-0.3671
51328,2011-09-21 08:20:00,-0.1919
51520,2011-09-22 00:20:00,-0.3721
51626,2011-09-22 09:10:00,-0.1953
51819,2011-09-23 01:15:00,-0.3872
51927,2011-09-23 10:15:00,-0.19
52118,2011-09-24 02:10:00,-0.4095
52238,2011-09-24 12:10:00,-0.1984
52416,2011-09-25 03:00:00,-0.4335
52547,2011-09-25 13:55:00,-0.2494
52713,2011-09-26 03:45:00,-0.4542
52850,2011-09-26 15:10:00,-0.3269
53009,2011-09-27 04:25:00,-0.4672
53150,2011-09-27 16:10:00,-0.4119
53306,2011-09-28 05:10:00,-0.4699
53450,2011-09-28 17:10:00,-0.4912
53602,2011-09-29 05:50:00,-0.4601
53749,2011-09-29 18:05:00,-0.5556
53898,2011-09-30 06:30:00,-0.4373
54048,2011-09-30 19:00:00,-0.5994
54194,2011-10-01 07:10:00,-0.4021
54347,2011-10-01 19:55:00,-0.621
54490,2011-10-02 07:50:00,-0.3564
54647,2011-10-02 20:55:00,-0.6228
54787,2011-10-03 08:35:00,-0.3037
54947,2011-10-03 21:55:00,-0.611
55084,2011-10-04 09:20:00,-0.249
55248,2011-10-04 23:00:00,-0.5934
55384,2011-10-05 10:20:00,-0.1991
55549,2011-10-06 00:05:00,-0.5769
55685,2011-10-06 11:25:00,-0.164
55850,2011-10-07 01:10:00,-0.5631
55987,2011-10-07 12:35:00,-0.1541
56150,2011-10-08 02:10:00,-0.5485
56289,2011-10-08 13:45:00,-0.1726
56449,2011-10-09 03:05:00,-0.526
56589,2011-10-09 14:45:00,-0.2131
56746,2011-10-10 03:50:00,-0.4903
56889,2011-10-10 15:45:00,-0.2652
57043,2011-10-11 04:35:00,-0.4396
57187,2011-10-11 16:35:00,-0.3193
57339,2011-10-12 05:15:00,-0.3764
57485,2011-10-12 17:25:00,-0.368
57634,2011-10-13 05:50:00,-0.3069
57782,2011-10-13 18:10:00,-0.407
57927,2011-10-14 06:15:00,-0.2402
58078,2011-10-14 18:50:00,-0.4343
58219,2011-10-15 06:35:00,-0.187
58375,2011-10-15 19:35:00,-0.4498
58507,2011-10-16 06:35:00,-0.1587
58672,2011-10-16 20:20:00,-0.4547
58793,2011-10-17 06:25:00,-0.1634
